created_at;full_text;tweet_url
Sat Aug 31 07:10:20 +0000 2024;@khaliesklp48 Selamat hari kemerdekaan Malaysia ya Khalies.;https://x.com/afifmaulana_20/status/1829778735387853243
Thu Aug 29 15:12:53 +0000 2024;@Y_D_Y_P Polisi Kalo ngga gebukin anak orang ya gangguin orang makan @DivHumas_Polri #afifmaulana;https://x.com/KitaUang/status/1829175397621379077
Thu Aug 29 05:57:19 +0000 2024;@kalopsia_aura Aamiin.. Kamu juga yaa;https://x.com/afifmaulana_20/status/1829035582410076541
Thu Aug 29 05:48:20 +0000 2024;@Noize_Shin WOWWW.. Happy Graduation Shin. Semoga ilmunya bisa bermanfaat untuk dunia kerja dan masa depanmu di kemudian hari;https://x.com/afifmaulana_20/status/1829033322598805875
Thu Aug 29 05:44:30 +0000 2024;Kadang gw mikir kok bisa yaa gw ada di ranah peridolan seperti ini? Padahal awalnya gw cuma penikmat idol Love Live doang.;https://x.com/afifmaulana_20/status/1829032356151472134
Wed Aug 28 11:42:12 +0000 2024;IRIS KAPAN KALIAN KONSER KE INDONESIA?? AKU INGIN DATANG!!!;https://x.com/afifmaulana_20/status/1828759988158030324
Tue Aug 27 20:34:34 +0000 2024;@VeronicaKoman boleh include kasus afif maulana sumbar juga ci kayaknya masih sama #DaruratKekerasanAparat @LbhPadang @YLBHI;https://x.com/twitoftwat/status/1828531574461366434
Tue Aug 27 16:15:39 +0000 2024;keadilan untuk Afif Maulana untuk korban KM 50 untuk 2 mahasiswa Halu Oleo untuk korban Kanjuruhan untuk brutalitas aparat di Semarang dan di kota lainnya untuk kawan kita yang matanya hilang satu dan badannya luka-luka parah akibat KEKEJAMAN mereka.;https://x.com/jorgianaaa/status/1828466417395745231
Tue Aug 27 14:03:59 +0000 2024;@LBH_Jakarta Masalah abri luas dan lama. Misal tindakan polisi yang kebanyakan unik. Contoh pada kasus afif maulana. Sebanyak 17 orang yang terindikasi melanggar SOP. Kalau disamakan ukurannya di kecamatan terpencil di pulau jawa. Itu sudah se polsek;https://x.com/R_Afandi314/status/1828433279789498638
Tue Aug 27 13:41:36 +0000 2024;@eyehategutz liat aja kasus afif maulana kemaren mas itu iblis juga minder;https://x.com/sectumsempray/status/1828427648131047901
Tue Aug 27 13:00:15 +0000 2024;FOKUS | VIDEO REPLAY Siapa Pembunuh Afif Maulana https://t.co/BhPnINqSQ2 #afifmaulana #polri #sumaterabarat #fokus #tvtempo https://t.co/M3VcULfQph;https://x.com/TVTempoChannel/status/1828417241332777121
Tue Aug 27 07:11:38 +0000 2024;Ayok dong IRIS konser di Jakarta mau kayak gini jugaaa;https://x.com/afifmaulana_20/status/1828329510607167836
Tue Aug 27 06:41:17 +0000 2024;@jekeityplg Pengen jadi anak kecil lagi ;https://x.com/afifmaulana_20/status/1828321871181554070
Tue Aug 27 06:33:05 +0000 2024;Kenapa ya pernyataan Polri tuh ngeselin banget. Ini gak beda jauh kaya pernyataan waktu korban Afif Maulana meninggal. Kasian banget jadi orang Indonesia. ?;https://x.com/TheLawlessX/status/1828319808909385817
Tue Aug 27 06:20:42 +0000 2024;Buat yg masih suka nyalahin pendemo dan bukan polisinya ingat Afif Maulana #KawalPutusanMK #DaruratDemokrasi #PanggilanDarurat #DaruratKekerasanAparat https://t.co/TBgt83tkLK;https://x.com/pijabokki/status/1828316692969332950
Tue Aug 27 05:19:03 +0000 2024;Hoki banget ;https://x.com/afifmaulana_20/status/1828301175730393168
