full_text,cleansing,case_folding,tokenize,Filtering/stopword removal,stemming_data
@tanyarlfes gw kontra bgt sama hal ini. apa kalian ga mikirin perasaan orang barunya? dia dateng dgn segala ketidaktahuan tntg apa yg kamu alami tp dia harus nyembuhin lukamu? blm lg peluangnya 50:50 yaitu jd masa depanmu atau jd saksi ngeliat km balikan ,tanyarlfes gw kontra bgt sama hal ini apa kalian ga mikirin perasaan orang barunya dia dateng dgn segala ketidaktahuan tntg apa yg kamu alami tp dia harus nyembuhin lukamu blm lg peluangnya  yaitu jd masa depanmu atau jd saksi ngeliat km balikan ,tanyarlfes gw kontra bgt sama hal ini apa kalian ga mikirin perasaan orang barunya dia dateng dgn segala ketidaktahuan tntg apa yg kamu alami tp dia harus nyembuhin lukamu blm lg peluangnya  yaitu jd masa depanmu atau jd saksi ngeliat km balikan ,"['tanyarlfes', 'gw', 'kontra', 'bgt', 'sama', 'hal', 'ini', 'apa', 'kalian', 'ga', 'mikirin', 'perasaan', 'orang', 'barunya', 'dia', 'dateng', 'dgn', 'segala', 'ketidaktahuan', 'tntg', 'apa', 'yg', 'kamu', 'alami', 'tp', 'dia', 'harus', 'nyembuhin', 'lukamu', 'blm', 'lg', 'peluangnya', 'yaitu', 'jd', 'masa', 'depanmu', 'atau', 'jd', 'saksi', 'ngeliat', 'km', 'balikan']","['tanyarlfes', 'gw', 'kontra', 'bgt', 'ga', 'mikirin', 'perasaan', 'orang', 'barunya', 'dateng', 'dgn', 'ketidaktahuan', 'tntg', 'yg', 'alami', 'tp', 'nyembuhin', 'lukamu', 'blm', 'lg', 'peluangnya', 'jd', 'depanmu', 'jd', 'saksi', 'ngeliat', 'km', 'balikan']",tanyarlfes gw kontra bgt ga mikirin asa orang baru dateng dgn ketidaktahuan tntg yg alami tp nyembuhin luka blm lg peluang jd depan jd saksi ngeliat km balik
Badan Meteorologi Klimatologi dan Geofisika (BMKG) menginformasikan secara umum angin di wilayah Indonesia didominasi dari arah timur hingga tenggara dengan kecepatan berkisar antara 10 hingga 50 km/jam. https://t.co/Ifu9kluO0v,Badan Meteorologi Klimatologi dan Geofisika BMKG menginformasikan secara umum angin di wilayah Indonesia didominasi dari arah timur hingga tenggara dengan kecepatan berkisar antara  hingga  kmjam ,badan meteorologi klimatologi dan geofisika bmkg menginformasikan secara umum angin di wilayah indonesia didominasi dari arah timur hingga tenggara dengan kecepatan berkisar antara  hingga  kmjam ,"['badan', 'meteorologi', 'klimatologi', 'dan', 'geofisika', 'bmkg', 'menginformasikan', 'secara', 'umum', 'angin', 'di', 'wilayah', 'indonesia', 'didominasi', 'dari', 'arah', 'timur', 'hingga', 'tenggara', 'dengan', 'kecepatan', 'berkisar', 'antara', 'hingga', 'kmjam']","['badan', 'meteorologi', 'klimatologi', 'geofisika', 'bmkg', 'menginformasikan', 'angin', 'wilayah', 'indonesia', 'didominasi', 'arah', 'timur', 'tenggara', 'kecepatan', 'berkisar', 'kmjam']",badan meteorologi klimatologi geofisika bmkg informasi angin wilayah indonesia dominasi arah timur tenggara cepat kisar kmjam
@und_cuckoosnest @akbarfaizal68 @ridwankamil Halu kek gufron,undcuckoosnest akbarfaizal ridwankamil Halu kek gufron,undcuckoosnest akbarfaizal ridwankamil halu kek gufron,"['undcuckoosnest', 'akbarfaizal', 'ridwankamil', 'halu', 'kek', 'gufron']","['undcuckoosnest', 'akbarfaizal', 'ridwankamil', 'halu', 'kek', 'gufron']",undcuckoosnest akbarfaizal ridwankamil halu kek gufron
@Mdy_Asmara1701 Banyak aturan sedikit pendapatan.... Kecepatan lebih dari 50 KM /jam walaupun hanya 3 detik kena denda 50 k giliran jalan macet total karena ada demo disuruh pasrah tidak boleh cari jalan alternatif yang nekat kena denda lagi. Nah uang den,MdyAsmara Banyak aturan sedikit pendapatan Kecepatan lebih dari  KM jam walaupun hanya  detik kena denda  k giliran jalan macet total karena ada demo disuruh pasrah tidak boleh cari jalan alternatif yang nekat kena denda lagi Nah uang den,mdyasmara banyak aturan sedikit pendapatan kecepatan lebih dari  km jam walaupun hanya  detik kena denda  k giliran jalan macet total karena ada demo disuruh pasrah tidak boleh cari jalan alternatif yang nekat kena denda lagi nah uang den,"['mdyasmara', 'banyak', 'aturan', 'sedikit', 'pendapatan', 'kecepatan', 'lebih', 'dari', 'km', 'jam', 'walaupun', 'hanya', 'detik', 'kena', 'denda', 'k', 'giliran', 'jalan', 'macet', 'total', 'karena', 'ada', 'demo', 'disuruh', 'pasrah', 'tidak', 'boleh', 'cari', 'jalan', 'alternatif', 'yang', 'nekat', 'kena', 'denda', 'lagi', 'nah', 'uang', 'den']","['mdyasmara', 'aturan', 'pendapatan', 'kecepatan', 'km', 'jam', 'detik', 'kena', 'denda', 'k', 'giliran', 'jalan', 'macet', 'total', 'demo', 'disuruh', 'pasrah', 'cari', 'jalan', 'alternatif', 'nekat', 'kena', 'denda', 'uang', 'den']",mdyasmara atur dapat cepat km jam detik kena denda k gilir jalan macet total demo suruh pasrah cari jalan alternatif nekat kena denda uang den
@MEGRIMOR @SuperSlimEli Sir Owerri to Umuahia via Mbaise-Obowo-Amachara road is 50.1 km.,MEGRIMOR SuperSlimEli Sir Owerri to Umuahia via MbaiseObowoAmachara road is  km,megrimor superslimeli sir owerri to umuahia via mbaiseobowoamachara road is  km,"['megrimor', 'superslimeli', 'sir', 'owerri', 'to', 'umuahia', 'via', 'mbaiseobowoamachara', 'road', 'is', 'km']","['megrimor', 'superslimeli', 'sir', 'owerri', 'to', 'umuahia', 'via', 'mbaiseobowoamachara', 'road', 'is', 'km']",megrimor superslimeli sir owerri to umuahia via mbaiseobowoamachara road is km
@PrashantMavi05 @poojabishnoi36 Mahila agar kitchen se bahar rahegi eska mtlb usko 50% kaam km krna pdega jo ki ek relief h periods me,PrashantMavi poojabishnoi Mahila agar kitchen se bahar rahegi eska mtlb usko  kaam km krna pdega jo ki ek relief h periods me,prashantmavi poojabishnoi mahila agar kitchen se bahar rahegi eska mtlb usko  kaam km krna pdega jo ki ek relief h periods me,"['prashantmavi', 'poojabishnoi', 'mahila', 'agar', 'kitchen', 'se', 'bahar', 'rahegi', 'eska', 'mtlb', 'usko', 'kaam', 'km', 'krna', 'pdega', 'jo', 'ki', 'ek', 'relief', 'h', 'periods', 'me']","['prashantmavi', 'poojabishnoi', 'mahila', 'kitchen', 'bahar', 'rahegi', 'eska', 'mtlb', 'usko', 'kaam', 'km', 'krna', 'pdega', 'jo', 'ki', 'ek', 'relief', 'h', 'periods', 'me']",prashantmavi poojabishnoi mahila kitchen bahar rahegi eska mtlb usko kaam km krna pdega jo ki ek relief h periods me
@5teV3n_Pe9eL Dari kasus kanjuruhan km 50 sambo vina dan ronald tanur apa pemangku kepentingan itu gak ada kepikiran kalo ada yang salah sama penegakan hukum di indonesia ya ? Akhirnya mungkin bukan penjahat vs polisi tapi masyarakat vs polisi atau masyar,teVnPeeL Dari kasus kanjuruhan km  sambo vina dan ronald tanur apa pemangku kepentingan itu gak ada kepikiran kalo ada yang salah sama penegakan hukum di indonesia ya  Akhirnya mungkin bukan penjahat vs polisi tapi masyarakat vs polisi atau masyar,tevnpeel dari kasus kanjuruhan km  sambo vina dan ronald tanur apa pemangku kepentingan itu gak ada kepikiran kalo ada yang salah sama penegakan hukum di indonesia ya  akhirnya mungkin bukan penjahat vs polisi tapi masyarakat vs polisi atau masyar,"['tevnpeel', 'dari', 'kasus', 'kanjuruhan', 'km', 'sambo', 'vina', 'dan', 'ronald', 'tanur', 'apa', 'pemangku', 'kepentingan', 'itu', 'gak', 'ada', 'kepikiran', 'kalo', 'ada', 'yang', 'salah', 'sama', 'penegakan', 'hukum', 'di', 'indonesia', 'ya', 'akhirnya', 'mungkin', 'bukan', 'penjahat', 'vs', 'polisi', 'tapi', 'masyarakat', 'vs', 'polisi', 'atau', 'masyar']","['tevnpeel', 'kanjuruhan', 'km', 'sambo', 'vina', 'ronald', 'tanur', 'pemangku', 'kepentingan', 'gak', 'kepikiran', 'kalo', 'salah', 'penegakan', 'hukum', 'indonesia', 'ya', 'penjahat', 'vs', 'polisi', 'masyarakat', 'vs', 'polisi', 'masyar']",tevnpeel kanjuruhan km sambo vina ronald tanur mang penting gak pikir kalo salah tega hukum indonesia ya jahat vs polisi masyarakat vs polisi masyar
@akonayakobi Pace yakho is 3 50/km ,akonayakobi Pace yakho is  km ,akonayakobi pace yakho is  km ,"['akonayakobi', 'pace', 'yakho', 'is', 'km']","['akonayakobi', 'pace', 'yakho', 'is', 'km']",akonayakobi pace yakho is km
@aukaria @MasMasBiassaa @kelixmann @innovacommunity @didepancangkir @wizcayn @DonWawawa Ganti apane Om? Ganti oli transmisi per 20 rb km. Ganti kopling &amp,aukaria MasMasBiassaa kelixmann innovacommunity didepancangkir wizcayn DonWawawa Ganti apane Om Ganti oli transmisi per  rb km Ganti kopling amp,aukaria masmasbiassaa kelixmann innovacommunity didepancangkir wizcayn donwawawa ganti apane om ganti oli transmisi per  rb km ganti kopling amp,"['aukaria', 'masmasbiassaa', 'kelixmann', 'innovacommunity', 'didepancangkir', 'wizcayn', 'donwawawa', 'ganti', 'apane', 'om', 'ganti', 'oli', 'transmisi', 'per', 'rb', 'km', 'ganti', 'kopling', 'amp']","['aukaria', 'masmasbiassaa', 'kelixmann', 'innovacommunity', 'didepancangkir', 'wizcayn', 'donwawawa', 'ganti', 'apane', 'om', 'ganti', 'oli', 'transmisi', 'rb', 'km', 'ganti', 'kopling', 'amp']",aukaria masmasbiassaa kelixmann innovacommunity didepancangkir wizcayn donwawawa ganti apane om ganti oli transmisi rb km ganti kopling amp
@Bahu162380 @ObcForIndia @RahulGandhi Ydi ap sc st obc hai to afford nhi kr skte itni meghi padhai...yhn prob h .... social justice yhi hota h ki samaj m 100 log hai to sabko barabar mile chlo y practical nhi h to km se 80 logo ko 50-60 % hi mile sab jo m,Bahu ObcForIndia RahulGandhi Ydi ap sc st obc hai to afford nhi kr skte itni meghi padhaiyhn prob h  social justice yhi hota h ki samaj m  log hai to sabko barabar mile chlo y practical nhi h to km se  logo ko   hi mile sab jo m,bahu obcforindia rahulgandhi ydi ap sc st obc hai to afford nhi kr skte itni meghi padhaiyhn prob h  social justice yhi hota h ki samaj m  log hai to sabko barabar mile chlo y practical nhi h to km se  logo ko   hi mile sab jo m,"['bahu', 'obcforindia', 'rahulgandhi', 'ydi', 'ap', 'sc', 'st', 'obc', 'hai', 'to', 'afford', 'nhi', 'kr', 'skte', 'itni', 'meghi', 'padhaiyhn', 'prob', 'h', 'social', 'justice', 'yhi', 'hota', 'h', 'ki', 'samaj', 'm', 'log', 'hai', 'to', 'sabko', 'barabar', 'mile', 'chlo', 'y', 'practical', 'nhi', 'h', 'to', 'km', 'se', 'logo', 'ko', 'hi', 'mile', 'sab', 'jo', 'm']","['bahu', 'obcforindia', 'rahulgandhi', 'ydi', 'ap', 'sc', 'st', 'obc', 'hai', 'to', 'afford', 'nhi', 'kr', 'skte', 'itni', 'meghi', 'padhaiyhn', 'prob', 'h', 'social', 'justice', 'yhi', 'hota', 'h', 'ki', 'samaj', 'm', 'log', 'hai', 'to', 'sabko', 'barabar', 'mile', 'chlo', 'y', 'practical', 'nhi', 'h', 'to', 'km', 'logo', 'ko', 'hi', 'mile', 'sab', 'jo', 'm']",bahu obcforindia rahulgandhi ydi ap sc st obc hai to afford nhi kr skte itni meghi padhaiyhn prob h social justice yhi hota h ki samaj m log hai to sabko barabar mile chlo y practical nhi h to km logo ko hi mile sab jo m
