minang,clean_text,label
"zakir naik adolah pandiri jo presiden islamic research foundation (irf), sabuah organisasi nirlaba i",zakir naik adolah pandiri jo presiden islamic research foundation irf sabuah organisasi nirlaba,neutral
ibrahim sinik adalah seorang padagang asongan yang manjadi wartawan hebat,ibrahim sinik adalah seorang padagang asongan yang manjadi wartawan hebat,positive
"nan patamo dari pamainan genggong adolah mambuek garih ""star"" dan garih ""finish"" sacaro basamo sasua",nan patamo dari pamainan genggong adolah mambuek garih star dan garih finish sacaro basamo sasua,neutral
"mpr satalah amandemen uud 1945, iyolah sajak 2004 alah manjadi limbago bikameral nan tadiri dari 560",mpr satalah amandemen uud iyolah sajak alah manjadi limbago bikameral nan tadiri dari ,neutral
"dari sailiran batang arau, ado sabuah jambatan nan banamo jambatan sitti nurbaya",dari sailiran batang arau ado sabuah jambatan nan banamo jambatan sitti nurbaya,neutral
"sinergi nampak dari kompaknyo para pamimpin daerah dalam mandukuang kagiatan tasabuik; gubernur, wal",sinergi nampak dari kompaknyo para pamimpin daerah dalam mandukuang kagiatan tasabuik gubernur wal,neutral
"mumbai marupoan ibu kota finansial nagara ko, dan marupoan pulo rumah dari ""reserve bank of india"" (",mumbai marupoan ibu kota finansial nagara ko dan marupoan pulo rumah dari reserve bank of india ,neutral
"taman nasional bunaken adolah taman lauik nan barado di sulawesi utara, indonesia",taman nasional bunaken adolah taman lauik nan barado di sulawesi utara indonesia,neutral
"soewardi barasal dari lingkungan kaluarga kadipaten pakualaman, putra dari gph soerjaningrat, jo cuc",soewardi barasal dari lingkungan kaluarga kadipaten pakualaman putra dari gph soerjaningrat jo cuc,neutral
saluruah kelurahan mambantuak limbago pangalolaan sampah (lps) nan tadiri dari masyarakaik satampek ,saluruah kelurahan mambantuak limbago pangalolaan sampah lps nan tadiri dari masyarakaik satampek ,neutral
narkoba adolah singkatan dari (bahasa indonesia:narkotika dan obat/bahan berbahaya),narkoba adolah singkatan dari bahasa indonesia narkotika dan obat bahan berbahaya ,neutral
"ado pulo ahli nan manampekkan paus iko dalam genus ""sibbaldus"", walaupun pangklasifikasian iko indak",ado pulo ahli nan manampekkan paus iko dalam genus sibbaldus walaupun pangklasifikasian iko indak,neutral
"abdullah pulo adolah katua umum gerakan non-blok, dan alah mamacik jabatan tasabuik sajak manjabaik ",abdullah pulo adolah katua umum gerakan non blok dan alah mamacik jabatan tasabuik sajak manjabaik ,neutral
inyo kambali ka inggris dan batamu joseph chamberlain dan inyo menawarkan daerah uganda sabagai daer,inyo kambali ka inggris dan batamu joseph chamberlain dan inyo menawarkan daerah uganda sabagai daer,neutral
potret dirinyo diabadikan pado pitih karateh pacahan 20.000 rupiah taun edisi 1998,potret dirinyo diabadikan pado pitih karateh pacahan rupiah taun edisi ,neutral
"manyusua satalah revolusi meksiko, turnamen sipak bola amatia di salurauh nagari bakambang jo guadal",manyusua satalah revolusi meksiko turnamen sipak bola amatia di salurauh nagari bakambang jo guadal,neutral
"dalam mampajuangan tagaknyo syariat islam di indonesia, isa mamiliah bajuang malalui parlemen",dalam mampajuangan tagaknyo syariat islam di indonesia isa mamiliah bajuang malalui parlemen,neutral
"varian pandukuang sarangan iko punyo barek tampua 14.800 kg (32.628 lb), panjang 7,22 m (23,69 kaki)",varian pandukuang sarangan iko punyo barek tampua kg lb panjang m kaki ,neutral
"sekembalinya ka indonesia, inyo dilantik manjadi perwira remaja jo pangkek letnan ii",sekembalinya ka indonesia inyo dilantik manjadi perwira remaja jo pangkek letnan ii,neutral
maliek sumangaiknyo animo masyarakaik dalam pacu itiak iko mako pacu itiak dikelola sacaro profesion,maliek sumangaiknyo animo masyarakaik dalam pacu itiak iko mako pacu itiak dikelola sacaro profesion,neutral
"sambia manjalanan tugehnyo di bukiktinggi sabagai asisten pandeta (1978-1981), dan sudah tu pandeta ",sambia manjalanan tugehnyo di bukiktinggi sabagai asisten pandeta dan sudah tu pandeta ,neutral
rambatan marupoan salah satu nagari nan sakaliguih manjadi namo untuak kecamatannya iyolah kecamatan,rambatan marupoan salah satu nagari nan sakaliguih manjadi namo untuak kecamatannya iyolah kecamatan,neutral
program karajosamo itu disempurnakan pado tahun 2010 jo program pandidikan lingkuangan hiduik malalu,program karajosamo itu disempurnakan pado tahun jo program pandidikan lingkuangan hiduik malalu,neutral
"sajak mulo tagaknyo inggo kini, universitas andalas alah punyo limo baleh (15) fakultas dan ciek pro",sajak mulo tagaknyo inggo kini universitas andalas alah punyo limo baleh fakultas dan ciek pro,negative
